#notes:data gathered manually one prophecy at a time (no blocking)
#date:2021-04-03
#league:Ritual
#poe-version:3.13.1e
#character-level:30
"item","count"
"The Mysterious Gift",60
"The Plaguemaw I",58
"The Unbreathing Queen I",51
"The Hardened Armour",51
"Defiled in the Sceptre",51
"In the Grasp of Corruption",45
"Unnatural Energy",45
"Holding the Bridge",45
"Golden Touch",43
"Unbearable Whispers I",43
"Hunter's Lesson",42
"The Feral Lord I",39
"Lasting Impressions",39
"The Sharpened Blade",38
"Overflowing Riches",37
"The Alchemist",37
"The God of Misfortune",35
"Beyond Sight I",34
"Gilded Within",33
"Plague of Rats",32
"Forceful Exorcism",32
"Hidden Vaal Pathways",31
"Ending the Torment",31
"The Twins",31
"The Wealthy Exile",30
"Risen Blood",27
"Waiting in Ambush",27
"The Brothers of Necromancy",27
"Erased from Memory",27
"Rebirth",26
"Touched by the Wind",26
"Possessed Foe",26
"Twice Enchanted",25
"Hidden Reinforcements",24
"Kalandra's Craft",24
"The Corrupt",23
"Day of Sacrifice I",23
"An Unseen Peril",22
"The Hungering Swarm",21
"Soil, Worms and Blood",21
"The Undead Brutes",21
"The Scout",18
"The Cursed Choir",18
"Plague of Frogs",18
"The Invader",16
"Vaal Invasion",16
"Reforged Bonds",16
"Crushing Squall",15
"The Trembling Earth",14
"The Warmongers I",14
"The Singular Spirit",13
"The Undead Storm",12
"Ice from Above",12
"The Ambitious Bandit I",11
"Lightning Falls",10
"Deadly Rivalry I",9
"Erasmus' Gift",9
"Fire from the Sky",8
"Thaumaturgical History I",7
"The Prison Guard",6
"A Master Seeks Help",6
"The Lady in Black",6
"Roth's Legacy",5
"From Death Springs Life",5
"Vaal Winds",5
"Fear's Wide Reach",5
"Against the Tide",5
"The Prison Key",5
"Nature's Resilience",4
"Ancient Doom",4
"Storm on the Horizon",4
"Cleanser of Sins",3
"A Firm Foothold",3
"The Ward's Ward",3
"Trapped in the Tower",2
"Graceful Flames",2
"Baptism by Death",2
"Fire and Brimstone",2
"The Petrified",2
"The Eagle's Cry",2
"The Silverwood",2
"The Snuffed Flame",1
"The Soulless Beast",1
"The Vanguard",1
"Custodians of Silence",1
"The Brutal Enforcer",1
"The Servant's Heart",1
